transaction_id,customer_id,customer_segment,account_age_days,prior_successful_payments,payment_method,transaction_amount,original_failure_at,failure_reason,retry_attempt_number,retry_window_minutes,retry_window_bucket,retry_at,hour_of_day,time_of_day_bucket,retry_success
T0000021,C02773,new,30,0,digital_wallet,103.43,2025-05-21T03:20:10,bank_decline_generic,1,386,medium,2025-05-21T09:46:10,3,night,1
T0000022,C01502,new,63,1,bank_transfer,100.14,2025-05-26T22:01:46,incorrect_cvv,1,2,immediate,2025-05-26T22:03:46,22,evening,0
T0000023,C01049,returning,129,5,credit_card,57.55,2025-06-07T08:42:36,network_error,2,2,immediate,2025-06-07T08:44:36,8,morning,1
T0000024,C01533,returning,91,4,paypal,35.95,2025-03-26T14:02:38,insufficient_funds,1,45,short,2025-03-26T14:47:38,14,afternoon,0
T0000025,C01525,returning,422,11,credit_card,57.89,2025-03-22T08:17:32,insufficient_funds,1,3,immediate,2025-03-22T08:20:32,8,morning,0
T0000026,C00836,loyal,1084,192,paypal,121.75,2025-06-16T17:29:39,expired_card,2,6473,long,2025-06-21T05:22:39,17,afternoon,0
T0000027,C00517,loyal,2946,155,debit_card,48.09,2025-06-05T05:07:55,expired_card,1,89,medium,2025-06-05T06:36:55,5,night,0
T0000028,C02060,returning,201,6,credit_card,107.73,2025-05-29T09:41:04,incorrect_cvv,1,3,immediate,2025-05-29T09:44:04,9,morning,1
T0000029,C02084,new,83,0,credit_card,30.03,2025-05-10T19:26:19,insufficient_funds,2,2,immediate,2025-05-10T19:28:19,19,evening,0
T0000030,C03127,returning,402,12,bank_transfer,6.77,2025-06-19T04:24:18,card_not_activated,3,7,short,2025-06-19T04:31:18,4,night,0
T0000031,C00756,new,54,1,debit_card,42.6,2025-05-21T18:21:34,processing_error,3,5,immediate,2025-05-21T18:26:34,18,evening,1
T0000032,C01161,returning,100,11,credit_card,56.42,2025-06-08T15:58:58,insufficient_funds,1,1,immediate,2025-06-08T15:59:58,15,afternoon,0
T0000033,C01107,returning,148,8,credit_card,92.97,2025-01-27T14:53:44,insufficient_funds,2,5,short,2025-01-27T14:58:44,14,afternoon,1
T0000034,C03070,returning,474,3,debit_card,44.62,2025-06-10T15:37:20,bank_decline_generic,2,3,immediate,2025-06-10T15:40:20,15,afternoon,0
T0000035,C03526,returning,292,13,credit_card,180.14,2025-01-10T16:12:15,network_error,1,8,short,2025-01-10T16:20:15,16,afternoon,1
T0000036,C02023,loyal,2544,193,credit_card,121.68,2025-03-05T23:06:29,card_not_activated,2,713,medium,2025-03-06T10:59:29,23,evening,0
T0000037,C01355,new,1,1,upi,78.4,2025-04-17T08:38:33,card_not_activated,1,2,immediate,2025-04-17T08:40:33,8,morning,0
T0000038,C00013,loyal,1674,46,debit_card,169.8,2025-02-11T13:39:50,expired_card,2,76,medium,2025-02-11T14:55:50,13,afternoon,0
T0000039,C02298,returning,100,14,paypal,190.17,2025-02-26T10:25:33,network_error,2,387,medium,2025-02-26T16:52:33,10,morning,0
T0000040,C02024,loyal,2262,174,debit_card,18.96,2025-03-29T11:21:26,insufficient_funds,2,1,immediate,2025-03-29T11:22:26,11,morning,0
T0000041,C03766,loyal,2256,83,debit_card,27.53,2025-03-13T17:49:50,insufficient_funds,1,13,short,2025-03-13T18:02:50,17,afternoon,0
T0000042,C03548,new,10,0,credit_card,76.0,2025-06-19T19:24:09,processing_error,1,5,immediate,2025-06-19T19:29:09,19,evening,0
T0000043,C01379,new,16,0,credit_card,25.46,2025-03-25T15:11:27,network_error,1,41,short,2025-03-25T15:52:27,15,afternoon,1
T0000044,C02224,returning,256,3,credit_card,42.9,2025-03-28T19:21:19,expired_card,2,1091,medium,2025-03-29T13:32:19,19,evening,0
T0000045,C02584,returning,610,12,credit_card,82.26,2025-01-25T05:42:23,network_error,1,23,short,2025-01-25T06:05:23,5,night,1
T0000046,C00733,new,82,0,credit_card,104.52,2025-03-29T23:37:51,insufficient_funds,2,566,medium,2025-03-30T09:03:51,23,evening,0
T0000047,C01519,new,76,2,digital_wallet,64.21,2025-02-27T20:41:38,bank_decline_generic,2,514,medium,2025-02-28T05:15:38,20,evening,0
T0000048,C02272,loyal,2284,188,paypal,30.51,2025-04-20T07:01:49,incorrect_cvv,3,3,immediate,2025-04-20T07:04:49,7,morning,1
T0000049,C00749,returning,335,4,credit_card,53.64,2025-06-09T10:49:09,fraud_suspected,3,20,short,2025-06-09T11:09:09,10,morning,0
T0000050,C02565,returning,683,6,credit_card,50.95,2025-03-23T22:01:41,incorrect_cvv,3,160,medium,2025-03-24T00:41:41,22,evening,0
T0000051,C02687,returning,446,12,paypal,28.93,2025-03-12T17:57:33,insufficient_funds,2,665,medium,2025-03-13T05:02:33,17,afternoon,0
T0000052,C02794,returning,650,6,debit_card,61.14,2025-03-08T03:51:54,fraud_suspected,1,33,short,2025-03-08T04:24:54,3,night,0
T0000053,C02207,loyal,2695,26,bank_transfer,22.45,2025-03-08T13:04:59,bank_decline_generic,1,2,immediate,2025-03-08T13:06:59,13,afternoon,1
T0000054,C02284,loyal,861,174,bank_transfer,9.7,2025-02-18T20:49:17,network_error,2,3,immediate,2025-02-18T20:52:17,20,evening,0
T0000055,C00006,returning,97,8,paypal,146.72,2025-04-10T14:25:58,bank_decline_generic,2,1,immediate,2025-04-10T14:26:58,14,afternoon,1
T0000056,C01357,new,56,2,digital_wallet,66.81,2025-01-10T22:24:33,insufficient_funds,2,6,short,2025-01-10T22:30:33,22,evening,1
T0000057,C01651,returning,290,19,credit_card,115.53,2025-05-03T15:55:37,card_not_activated,1,24,short,2025-05-03T16:19:37,15,afternoon,0
T0000058,C02395,new,19,2,debit_card,32.46,2025-01-12T18:28:56,insufficient_funds,2,43,short,2025-01-12T19:11:56,18,evening,0
T0000059,C00372,new,12,2,bank_transfer,38.12,2025-05-21T17:30:59,processing_error,2,1,immediate,2025-05-21T17:31:59,17,afternoon,1
T0000060,C02132,loyal,2301,93,credit_card,39.55,2025-02-07T09:29:14,insufficient_funds,1,4,immediate,2025-02-07T09:33:14,9,morning,0
T0000061,C03715,returning,257,4,credit_card,51.85,2025-02-09T20:57:58,insufficient_funds,1,3,immediate,2025-02-09T21:00:58,20,evening,0
T0000062,C00535,loyal,1056,155,debit_card,74.12,2025-04-22T23:24:07,insufficient_funds,1,46,short,2025-04-23T00:10:07,23,evening,0
T0000063,C00675,returning,447,14,bank_transfer,35.37,2025-01-10T08:25:18,processing_error,1,1731,long,2025-01-11T13:16:18,8,morning,1
T0000064,C01886,loyal,2198,197,paypal,194.58,2025-01-28T21:47:50,incorrect_cvv,1,49,short,2025-01-28T22:36:50,21,evening,0
T0000065,C03590,loyal,2001,183,digital_wallet,73.63,2025-06-10T09:40:12,expired_card,1,3260,long,2025-06-12T16:00:12,9,morning,0
T0000066,C03036,new,47,1,credit_card,72.16,2025-02-14T21:34:15,bank_decline_generic,2,105,medium,2025-02-14T23:19:15,21,evening,0
T0000067,C01733,new,84,1,debit_card,52.11,2025-01-24T14:44:03,incorrect_cvv,1,2279,long,2025-01-26T04:43:03,14,afternoon,0
T0000068,C03374,loyal,1934,164,debit_card,53.78,2025-05-03T12:43:10,insufficient_funds,1,4,immediate,2025-05-03T12:47:10,12,afternoon,0
T0000069,C00427,new,17,2,debit_card,55.57,2025-04-21T08:04:33,processing_error,1,1659,long,2025-04-22T11:43:33,8,morning,0
T0000070,C02359,returning,658,18,bank_transfer,66.62,2025-02-22T10:39:38,processing_error,3,947,medium,2025-02-23T02:26:38,10,morning,1
T0000071,C03378,returning,391,5,credit_card,76.78,2025-05-20T16:44:16,incorrect_cvv,2,1,immediate,2025-05-20T16:45:16,16,afternoon,0
T0000072,C01140,loyal,2362,178,paypal,109.2,2025-04-16T15:51:48,bank_decline_generic,1,15,short,2025-04-16T16:06:48,15,afternoon,1
T0000073,C01577,loyal,2758,66,credit_card,43.86,2025-05-30T22:11:01,bank_decline_generic,1,13,short,2025-05-30T22:24:01,22,evening,0
T0000074,C01979,returning,510,15,credit_card,59.28,2025-06-16T17:58:27,incorrect_cvv,2,98,medium,2025-06-16T19:36:27,17,afternoon,1
T0000075,C03006,returning,310,8,upi,103.65,2025-04-14T11:33:00,network_error,1,3,immediate,2025-04-14T11:36:00,11,morning,1
T0000076,C03973,new,35,1,bank_transfer,35.15,2025-05-01T12:29:36,insufficient_funds,2,8,short,2025-05-01T12:37:36,12,afternoon,0
T0000077,C02092,returning,145,11,digital_wallet,31.33,2025-03-18T09:22:52,bank_decline_generic,2,3,immediate,2025-03-18T09:25:52,9,morning,0
T0000078,C03472,returning,347,8,debit_card,91.3,2025-02-07T15:57:59,network_error,1,2,immediate,2025-02-07T15:59:59,15,afternoon,1
T0000079,C03053,new,45,0,credit_card,84.52,2025-04-04T09:21:24,insufficient_funds,1,14,short,2025-04-04T09:35:24,9,morning,0
T0000080,C00896,returning,258,11,debit_card,53.07,2025-04-19T18:23:23,insufficient_funds,3,18,short,2025-04-19T18:41:23,18,evening,0
T0000081,C01296,returning,681,15,credit_card,56.96,2025-05-13T11:16:14,insufficient_funds,2,3,immediate,2025-05-13T11:19:14,11,morning,1
T0000082,C00800,returning,263,16,bank_transfer,45.48,2025-03-06T16:17:50,insufficient_funds,1,117,medium,2025-03-06T18:14:50,16,afternoon,0
T0000083,C01329,returning,181,8,credit_card,82.01,2025-05-22T09:39:56,insufficient_funds,3,31,short,2025-05-22T10:10:56,9,morning,0
T0000084,C03090,returning,709,17,debit_card,21.17,2025-05-31T12:29:24,network_error,1,1826,long,2025-06-01T18:55:24,12,afternoon,1
T0000085,C01093,loyal,884,187,credit_card,5.12,2025-06-14T15:35:54,processing_error,3,46,short,2025-06-14T16:21:54,15,afternoon,0
T0000086,C03462,returning,353,15,credit_card,23.25,2025-03-22T19:28:34,incorrect_cvv,1,1,immediate,2025-03-22T19:29:34,19,evening,1
T0000087,C02685,returning,493,6,credit_card,95.2,2025-03-07T19:27:23,bank_decline_generic,2,3,immediate,2025-03-07T19:30:23,19,evening,0
T0000088,C01345,loyal,1205,68,credit_card,25.23,2025-06-15T00:02:02,insufficient_funds,1,3,immediate,2025-06-15T00:05:02,0,night,0
T0000089,C02575,loyal,2512,183,credit_card,121.43,2025-06-10T07:20:55,expired_card,1,2,immediate,2025-06-10T07:22:55,7,morning,0
T0000090,C01140,loyal,2362,178,paypal,41.73,2025-04-11T15:24:24,network_error,1,3741,long,2025-04-14T05:45:24,15,afternoon,0
T0000091,C01784,loyal,2872,85,paypal,8.06,2025-01-30T19:08:23,bank_decline_generic,3,5663,long,2025-02-03T17:31:23,19,evening,1
T0000092,C02837,loyal,2635,81,credit_card,38.16,2025-01-21T19:12:53,insufficient_funds,2,1,immediate,2025-01-21T19:13:53,19,evening,1
T0000093,C01523,returning,350,12,debit_card,103.48,2025-01-18T15:26:16,incorrect_cvv,1,2,immediate,2025-01-18T15:28:16,15,afternoon,1
T0000094,C00711,new,62,1,digital_wallet,28.51,2025-03-09T14:20:16,bank_decline_generic,1,3,immediate,2025-03-09T14:23:16,14,afternoon,0
T0000095,C02043,returning,550,13,credit_card,61.06,2025-05-11T19:24:57,processing_error,1,1,immediate,2025-05-11T19:25:57,19,evening,0
T0000096,C01838,loyal,1801,153,credit_card,38.37,2025-03-28T19:46:13,bank_decline_generic,3,55,short,2025-03-28T20:41:13,19,evening,0
T0000097,C02305,loyal,2258,198,upi,53.23,2025-04-30T09:26:56,insufficient_funds,1,2,immediate,2025-04-30T09:28:56,9,morning,0
T0000098,C03596,returning,242,13,credit_card,40.73,2025-03-12T18:15:50,network_error,1,114,medium,2025-03-12T20:09:50,18,evening,1
T0000099,C02582,loyal,2157,139,debit_card,49.01,2025-06-21T14:10:51,expired_card,1,1,immediate,2025-06-21T14:11:51,14,afternoon,0
T0000100,C00481,returning,257,15,upi,45.61,2025-04-28T20:55:37,network_error,1,1,immediate,2025-04-28T20:56:37,20,evening,1
T0000101,C02002,new,70,2,paypal,27.07,2025-04-06T18:52:20,insufficient_funds,1,9071,long,2025-04-13T02:03:20,18,evening,0
T0000102,C02908,loyal,1929,49,paypal,51.69,2025-02-06T09:56:02,expired_card,3,23,short,2025-02-06T10:19:02,9,morning,0
T0000103,C02272,loyal,2284,188,paypal,29.45,2025-02-10T18:46:45,bank_decline_generic,1,12,short,2025-02-10T18:58:45,18,evening,0
T0000104,C00330,loyal,945,22,credit_card,75.18,2025-06-04T16:07:29,insufficient_funds,1,101,medium,2025-06-04T17:48:29,16,afternoon,0
T0000105,C02921,loyal,1598,21,debit_card,49.38,2025-03-09T18:05:19,insufficient_funds,1,4,immediate,2025-03-09T18:09:19,18,evening,0
T0000106,C00474,returning,166,15,debit_card,43.9,2025-05-03T08:09:07,insufficient_funds,2,3,immediate,2025-05-03T08:12:07,8,morning,0
T0000107,C00211,returning,654,4,debit_card,23.74,2025-05-25T18:07:07,expired_card,1,4,immediate,2025-05-25T18:11:07,18,evening,0
T0000108,C02114,loyal,769,141,paypal,56.14,2025-02-18T09:39:47,processing_error,1,3,immediate,2025-02-18T09:42:47,9,morning,1
T0000109,C01832,new,71,0,debit_card,72.36,2025-06-07T11:33:06,insufficient_funds,1,105,medium,2025-06-07T13:18:06,11,morning,0
T0000110,C03447,loyal,1125,138,upi,259.65,2025-03-05T23:09:38,insufficient_funds,1,4,immediate,2025-03-05T23:13:38,23,evening,0
T0000111,C00261,returning,407,17,credit_card,27.22,2025-05-08T00:59:13,processing_error,2,12,short,2025-05-08T01:11:13,0,night,0
T0000112,C00570,loyal,2891,55,debit_card,30.55,2025-03-11T15:34:23,expired_card,2,91,medium,2025-03-11T17:05:23,15,afternoon,0
T0000113,C01933,loyal,2835,195,debit_card,27.16,2025-01-24T12:10:30,insufficient_funds,1,6,short,2025-01-24T12:16:30,12,afternoon,0
T0000114,C00084,loyal,901,21,credit_card,169.78,2025-01-25T20:33:41,card_not_activated,3,2,immediate,2025-01-25T20:35:41,20,evening,1
T0000115,C00029,returning,102,6,paypal,11.29,2025-06-18T11:15:03,insufficient_funds,1,48,short,2025-06-18T12:03:03,11,morning,0
T0000116,C01246,returning,689,6,debit_card,29.13,2025-03-27T16:49:22,expired_card,1,8,short,2025-03-27T16:57:22,16,afternoon,0
T0000117,C00453,returning,710,13,bank_transfer,48.28,2025-05-30T07:50:32,insufficient_funds,2,4,immediate,2025-05-30T07:54:32,7,morning,0
T0000118,C00160,returning,521,18,credit_card,78.04,2025-01-19T20:42:23,incorrect_cvv,2,1,immediate,2025-01-19T20:43:23,20,evening,0
T0000119,C00787,loyal,1571,136,credit_card,48.82,2025-03-29T07:03:29,processing_error,2,5,immediate,2025-03-29T07:08:29,7,morning,0
T0000120,C01618,returning,419,14,digital_wallet,44.1,2025-02-08T02:36:27,insufficient_funds,1,19,short,2025-02-08T02:55:27,2,night,0
T0000121,C00112,new,36,0,debit_card,43.65,2025-01-02T12:42:51,bank_decline_generic,2,2,immediate,2025-01-02T12:44:51,12,afternoon,0
T0000122,C03300,returning,427,17,paypal,44.09,2025-04-24T06:15:53,insufficient_funds,1,64,medium,2025-04-24T07:19:53,6,morning,1
T0000123,C03860,new,86,1,credit_card,61.88,2025-01-05T19:50:07,insufficient_funds,1,26,short,2025-01-05T20:16:07,19,evening,0
T0000124,C03769,loyal,2976,121,credit_card,71.17,2025-05-19T16:44:54,processing_error,1,21,short,2025-05-19T17:05:54,16,afternoon,1
T0000125,C00691,loyal,1140,188,bank_transfer,79.35,2025-04-29T15:51:37,network_error,3,817,medium,2025-04-30T05:28:37,15,afternoon,0
T0000126,C00798,returning,222,5,digital_wallet,21.77,2025-05-14T07:26:24,processing_error,3,83,medium,2025-05-14T08:49:24,7,morning,0
T0000127,C03813,loyal,1408,81,credit_card,152.99,2025-04-21T10:14:53,insufficient_funds,2,1,immediate,2025-04-21T10:15:53,10,morning,0
T0000128,C03980,loyal,895,141,bank_transfer,30.22,2025-01-03T06:52:58,network_error,3,889,medium,2025-01-03T21:41:58,6,morning,1
T0000129,C03388,loyal,1682,102,debit_card,18.04,2025-03-21T05:10:42,network_error,2,4,immediate,2025-03-21T05:14:42,5,night,0
T0000130,C03010,returning,568,14,paypal,89.99,2025-04-26T15:49:37,incorrect_cvv,3,1,immediate,2025-04-26T15:50:37,15,afternoon,0
T0000131,C02505,loyal,1037,198,digital_wallet,54.62,2025-04-09T03:52:54,insufficient_funds,1,13,short,2025-04-09T04:05:54,3,night,1
T0000132,C00936,returning,262,5,upi,47.68,2025-03-14T14:00:34,insufficient_funds,1,137,medium,2025-03-14T16:17:34,14,afternoon,0
T0000133,C03381,loyal,1617,83,digital_wallet,35.51,2025-03-15T16:19:38,incorrect_cvv,3,501,medium,2025-03-16T00:40:38,16,afternoon,0
T0000134,C02689,loyal,2673,99,digital_wallet,26.87,2025-04-09T08:46:48,incorrect_cvv,2,5307,long,2025-04-13T01:13:48,8,morning,0
T0000135,C01041,new,66,1,debit_card,53.64,2025-06-03T16:07:22,incorrect_cvv,1,20,short,2025-06-03T16:27:22,16,afternoon,0
T0000136,C02895,returning,668,19,digital_wallet,69.29,2025-06-01T22:37:51,bank_decline_generic,1,25,short,2025-06-01T23:02:51,22,evening,0
T0000137,C02439,new,1,1,credit_card,41.97,2025-02-18T18:59:39,incorrect_cvv,1,2,immediate,2025-02-18T19:01:39,18,evening,1
T0000138,C03739,new,65,0,digital_wallet,24.11,2025-02-17T20:26:17,processing_error,1,2,immediate,2025-02-17T20:28:17,20,evening,0
T0000139,C02129,returning,402,5,credit_card,20.24,2025-04-30T04:27:08,card_not_activated,3,1,immediate,2025-04-30T04:28:08,4,night,0
T0000140,C03939,loyal,1988,159,paypal,23.69,2025-02-01T23:55:13,processing_error,2,1,immediate,2025-02-01T23:56:13,23,evening,0
T0000141,C02229,returning,182,6,paypal,38.7,2025-03-06T19:44:01,bank_decline_generic,2,5,immediate,2025-03-06T19:49:01,19,evening,0
T0000142,C03503,loyal,2489,67,upi,182.36,2025-02-23T03:36:26,network_error,1,3,immediate,2025-02-23T03:39:26,3,night,1
T0000143,C00518,loyal,2786,140,credit_card,30.19,2025-04-15T16:34:40,insufficient_funds,1,48,short,2025-04-15T17:22:40,16,afternoon,1
T0000144,C01670,loyal,2656,52,paypal,66.89,2025-01-21T19:53:20,network_error,3,4874,long,2025-01-25T05:07:20,19,evening,1
T0000145,C03232,returning,373,20,debit_card,32.53,2025-04-23T13:39:35,incorrect_cvv,1,3023,long,2025-04-25T16:02:35,13,afternoon,1
T0000146,C02646,new,44,1,credit_card,46.85,2025-04-30T08:38:43,insufficient_funds,3,718,medium,2025-04-30T20:36:43,8,morning,0
T0000147,C02916,returning,662,4,upi,31.21,2025-04-26T15:49:35,bank_decline_generic,1,2,immediate,2025-04-26T15:51:35,15,afternoon,0
T0000148,C00222,new,90,1,debit_card,151.88,2025-01-10T02:41:41,network_error,3,155,medium,2025-01-10T05:16:41,2,night,1
T0000149,C01744,new,5,0,bank_transfer,148.28,2025-03-05T19:16:10,insufficient_funds,1,161,medium,2025-03-05T21:57:10,19,evening,0
T0000150,C03145,new,72,2,debit_card,30.33,2025-03-03T22:12:50,incorrect_cvv,1,14,short,2025-03-03T22:26:50,22,evening,0
T0000151,C01540,loyal,1050,138,bank_transfer,101.53,2025-05-04T09:26:21,fraud_suspected,1,2,immediate,2025-05-04T09:28:21,9,morning,0
T0000152,C00643,returning,697,20,credit_card,29.9,2025-02-03T08:11:48,fraud_suspected,2,45,short,2025-02-03T08:56:48,8,morning,0
T0000153,C02452,new,1,2,credit_card,51.92,2025-01-21T06:17:45,card_not_activated,2,4,immediate,2025-01-21T06:21:45,6,morning,0
T0000154,C02354,new,54,2,debit_card,95.07,2025-04-07T23:08:12,bank_decline_generic,3,3,immediate,2025-04-07T23:11:12,23,evening,0
T0000155,C03972,new,27,2,bank_transfer,99.67,2025-02-21T20:40:51,processing_error,1,1,immediate,2025-02-21T20:41:51,20,evening,0
T0000156,C01739,new,49,1,bank_transfer,27.62,2025-05-22T13:48:34,insufficient_funds,2,56,short,2025-05-22T14:44:34,13,afternoon,0
T0000157,C01253,loyal,2517,70,credit_card,21.13,2025-04-19T18:14:32,expired_card,3,4,immediate,2025-04-19T18:18:32,18,evening,0
T0000158,C01143,loyal,2843,94,credit_card,37.56,2025-05-24T08:12:54,bank_decline_generic,1,5,immediate,2025-05-24T08:17:54,8,morning,0
T0000159,C02460,new,69,0,credit_card,95.52,2025-04-06T18:39:46,bank_decline_generic,2,2,immediate,2025-04-06T18:41:46,18,evening,0
T0000160,C01963,returning,541,18,paypal,64.02,2025-06-18T20:34:24,processing_error,1,1040,medium,2025-06-19T13:54:24,20,evening,1
T0000161,C00266,loyal,1929,107,bank_transfer,84.78,2025-02-17T20:16:21,bank_decline_generic,3,2,immediate,2025-02-17T20:18:21,20,evening,0
T0000162,C03589,new,41,2,credit_card,75.79,2025-02-14T21:00:02,bank_decline_generic,2,734,medium,2025-02-15T09:14:02,21,evening,0
T0000163,C01902,new,82,1,digital_wallet,61.01,2025-06-25T06:27:22,card_not_activated,2,2,immediate,2025-06-25T06:29:22,6,morning,1
T0000164,C03528,returning,107,16,upi,147.19,2025-04-03T16:13:28,fraud_suspected,2,5,short,2025-04-03T16:18:28,16,afternoon,0
T0000165,C00971,loyal,1256,144,digital_wallet,50.43,2025-01-29T15:32:32,processing_error,2,621,medium,2025-01-30T01:53:32,15,afternoon,1
T0000166,C03558,loyal,1936,174,debit_card,24.57,2025-01-12T11:20:30,network_error,1,2,immediate,2025-01-12T11:22:30,11,morning,1
T0000167,C00136,returning,111,15,debit_card,43.53,2025-05-22T23:34:47,card_not_activated,1,105,medium,2025-05-23T01:19:47,23,evening,1
T0000168,C00957,returning,243,5,bank_transfer,32.44,2025-01-30T23:41:42,processing_error,1,4,immediate,2025-01-30T23:45:42,23,evening,0
T0000169,C03475,new,24,1,paypal,38.78,2025-04-19T21:10:09,insufficient_funds,1,63,medium,2025-04-19T22:13:09,21,evening,0
T0000170,C00472,loyal,2219,124,debit_card,79.11,2025-05-03T16:55:35,bank_decline_generic,1,30,short,2025-05-03T17:25:35,16,afternoon,0
T0000171,C01549,loyal,2863,138,upi,47.65,2025-01-12T21:15:57,processing_error,2,5100,long,2025-01-16T10:15:57,21,evening,1
T0000172,C03011,new,71,0,debit_card,147.51,2025-05-05T08:20:19,incorrect_cvv,2,2665,long,2025-05-07T04:45:19,8,morning,1
T0000173,C03014,loyal,1760,149,credit_card,70.11,2025-06-08T20:21:47,network_error,1,6,short,2025-06-08T20:27:47,20,evening,0
T0000174,C00372,new,12,2,bank_transfer,44.97,2025-05-06T13:23:19,bank_decline_generic,2,562,medium,2025-05-06T22:45:19,13,afternoon,0
T0000175,C01609,returning,485,13,debit_card,37.05,2025-06-27T16:49:39,incorrect_cvv,2,5,short,2025-06-27T16:54:39,16,afternoon,0
T0000176,C02135,loyal,2322,61,upi,148.39,2025-05-01T13:24:38,network_error,1,1,immediate,2025-05-01T13:25:38,13,afternoon,1
T0000177,C01894,loyal,2652,26,paypal,80.98,2025-04-05T19:04:23,insufficient_funds,1,234,medium,2025-04-05T22:58:23,19,evening,0
T0000178,C03409,loyal,1210,105,credit_card,84.25,2025-04-23T16:55:11,expired_card,2,1,immediate,2025-04-23T16:56:11,16,afternoon,0
T0000179,C02041,returning,461,19,credit_card,121.06,2025-04-05T14:45:05,processing_error,2,2,immediate,2025-04-05T14:47:05,14,afternoon,1
T0000180,C01124,loyal,2394,86,credit_card,7.28,2025-04-25T13:08:27,expired_card,1,3,immediate,2025-04-25T13:11:27,13,afternoon,0
T0000181,C00429,new,23,1,debit_card,19.28,2025-05-13T11:31:53,bank_decline_generic,1,4,immediate,2025-05-13T11:35:53,11,morning,0
T0000182,C02852,new,33,1,credit_card,6.93,2025-05-23T05:40:25,expired_card,1,178,medium,2025-05-23T08:38:25,5,night,0
T0000183,C03961,returning,655,13,credit_card,14.52,2025-06-28T16:20:56,processing_error,1,61,medium,2025-06-28T17:21:56,16,afternoon,0
T0000184,C02876,loyal,1234,158,credit_card,68.23,2025-01-27T23:04:24,card_not_activated,2,51,short,2025-01-27T23:55:24,23,evening,1
T0000185,C00480,returning,618,7,credit_card,72.17,2025-01-01T16:54:29,bank_decline_generic,1,4,immediate,2025-01-01T16:58:29,16,afternoon,0
T0000186,C03275,loyal,988,132,upi,222.12,2025-01-11T20:08:12,insufficient_funds,1,37,short,2025-01-11T20:45:12,20,evening,0
T0000187,C02293,returning,380,9,paypal,43.75,2025-05-19T11:18:14,bank_decline_generic,1,2,immediate,2025-05-19T11:20:14,11,morning,0
